Date;Integrated;Max;SD
15/09/2009;39744750;2332,5;636,1719788
16/09/2009;51091500;2260;815,6015999
17/09/2009;51862500;2265;815,0153998
18/09/2009;46652250;2252,5;755,823865
19/09/2009;53557500;2202,5;819,5211096
20/09/2009;49469250;2280;776,3932611
21/09/2009;34563750;2227,5;587,5077992
22/09/2009;46550250;2177,5;753,3559027
23/09/2009;50637750;2237,5;810,5945892
24/09/2009;50925750;2187,5;774,7250538
25/09/2009;48602250;2220;774,5193743
26/09/2009;47688750;2380;766,708541
27/09/2009;33000000;1995;577,0191362
28/09/2009;38106000;2105;624,1565759
29/09/2009;52186500;2270;804,2867766
30/09/2009;50334000;2355;800,7966824
01/10/2009;42564750;2045;710,4624675
02/10/2009;48003000;2005;732,0521291
03/10/2009;44556000;2037,5;714,3165884
04/10/2009;50220000;2177,5;786,368883
05/10/2009;43145250;2147,5;689,962574
06/10/2009;49668000;1940;762,759207
07/10/2009;34260750;2167,5;641,676275
08/10/2009;47334000;2015;769,4089977
09/10/2009;47773500;2202,5;751,4762945
10/10/2009;27063750;2225;499,5578719
11/10/2009;31848000;2520;622,1079624
12/10/2009;46133250;2215;752,4607464
13/10/2009;46584750;2160;743,3697293
14/10/2009;36575250;2312,5;666,507491
15/10/2009;45368250;2052,5;737,4747552
16/10/2009;44976000;2265;716,1783438
17/10/2009;48178500;2152,5;748,6089292
18/10/2009;48337500;1932,5;751,4145321
19/10/2009;45896250;2115;732,6715301
20/10/2009;47628750;2040;758,2596747
21/10/2009;48894750;2022,5;762,7097311
22/10/2009;38760750;1947,5;641,5819821
23/10/2009;46389000;2155;738,5982361
24/10/2009;45629250;2297,5;736,3087905
25/10/2009;41663250;2165;686,0443472
26/10/2009;42986250;2025;687,1675528
27/10/2009;38281500;2072,5;720,1974607
28/10/2009;44573250;2012,5;715,6699947
29/10/2009;36059250;2090;616,0436443
30/10/2009;45624750;1935;738,5437522
31/10/2009;35891250;2057,5;607,4190402
01/11/2009;36828000;1997,5;666,157527
02/11/2009;42530250;1950;749,6748464
03/11/2009;40635750;2132,5;739,655975
04/11/2009;36626250;1947,5;602,7793201
05/11/2009;44055000;2077,5;725,8549777
06/11/2009;44517000;2155;750,983532
07/11/2009;36096750;2235;687,1514179
08/11/2009;21920250;1722,5;387,8418643
09/11/2009;38831250;2067,5;706,2725721
10/11/2009;26369250;1837,5;517,6169195
11/11/2009;22533750;1512,5;415,9535006
12/11/2009;40042500;2002,5;686,0451162
13/11/2009;29869500;1910;589,4914014
14/11/2009;20055750;2055;416,8325829
15/11/2009;5979000;900;168,1845894
16/11/2009;37923750;1947,5;675,0287832
17/11/2009;43225500;1835;712,5296039
18/11/2009;37000500;1717,5;621,3162537
19/11/2009;34255500;2010;621,8535237
20/11/2009;35999250;1880;655,5788096
21/11/2009;39797250;1857,5;671,4621246
22/11/2009;41365500;1865;685,0520143
23/11/2009;40198500;1750;666,645467
24/11/2009;36695250;1830;626,4781588
25/11/2009;38160000;2067,5;678,3705484
26/11/2009;39364500;1845;664,1197131
27/11/2009;38366250;1955;687,0052082
28/11/2009;39293250;1890;658,3035973
29/11/2009;38209500;1917,5;638,0989658
30/11/2009;41724000;1905;693,4007145
01/12/2009;39969750;1967,5;672,9311562
02/12/2009;38924250;2010;676,4174767
03/12/2009;40953000;1950;693,3040256
04/12/2009;38967000;2005;673,1903499
05/12/2009;36273000;2002,5;641,2825113
06/12/2009;36007500;1765;621,5884534
07/12/2009;35837250;1875;621,2334458
08/12/2009;30083250;1842,5;551,5471248
09/12/2009;38871000;2040;664,3814319
10/12/2009;35254500;1845;601,7092966
11/12/2009;38656500;2005;676,483789
12/12/2009;36051750;1942,5;618,8238498
13/12/2009;37610250;1967,5;641,8994093
14/12/2009;32957250;1895;575,062217
15/12/2009;36837000;1997,5;647,0213173
16/12/2009;38813250;1652,5;659,9475192
17/12/2009;29703750;1755;569,0355469
18/12/2009;34526250;1820;617,4368674
19/12/2009;37891500;1747,5;649,6150967
20/12/2009;38632500;1647,5;646,6004644
21/12/2009;37986750;1702,5;644,3068098
22/12/2009;30765000;1707,5;558,4648476
23/12/2009;17541750;1535;336,1664788
24/12/2009;21251250;1620;414,7213168
25/12/2009;38926500;1787,5;659,145626
26/12/2009;25072500;1870;496,2167155
27/12/2009;36789000;1815;626,5178083
28/12/2009;38155500;1632,5;638,8295462
29/12/2009;15102000;1185;265,8019894
30/12/2009;26412750;1972,5;496,9863266
31/12/2009;39576000;2010;665,4527277
01/01/2010;39261000;1660;653,285246
02/01/2010;41094000;1962,5;708,7797451
03/01/2010;36555750;1792,5;621,1403708
04/01/2010;36858000;1815;636,5670064
05/01/2010;28395750;1870;525,0763514
06/01/2010;18756750;1625;339,5237709
07/01/2010;11421000;995;204,5957214
08/01/2010;39252000;1702,5;651,0827024
09/01/2010;32031000;1902,5;582,6180902
10/01/2010;39000000;1910;651,6840363
11/01/2010;38766000;1855;640,2483537
12/01/2010;41097750;2152,5;694,1469569
13/01/2010;28533750;2072,5;545,7080545
14/01/2010;20217750;1442,5;378,6446846
15/01/2010;22921500;1745;413,7525128
16/01/2010;12438750;677,5;206,6639475
17/01/2010;39679500;1850;662,0374198
18/01/2010;40105500;1987,5;662,6442423
19/01/2010;39411000;1955;698,5391046
20/01/2010;37345500;2132,5;634,0040378
21/01/2010;37050000;2175;624,298205
22/01/2010;41803500;1970;691,8922118
23/01/2010;36748500;1982,5;632,286077
24/01/2010;36007500;1857,5;596,3962282
25/01/2010;42531000;1957,5;710,2081327
26/01/2010;40561500;2030;676,5007527
27/01/2010;36335250;1987,5;628,4399731
28/01/2010;38591250;1862,5;692,2249917
29/01/2010;37674750;1865;656,4092463
30/01/2010;42186750;1762,5;693,5007479
31/01/2010;36750000;2075;648,3527509
01/02/2010;43398750;1857,5;701,9314819
02/02/2010;43975500;1977,5;707,4064543
03/02/2010;41254500;2097,5;719,5949566
04/02/2010;44574750;1922,5;715,7370872
05/02/2010;43430250;1812,5;710,6153048
