Date;site;transect;quadrat;percentCover_allCoral;percentCover_macroalgae;percentCover_CTB
01/05/1996;Tektite;1;T1Q6;46.4;9.2;2.6
01/05/1996;Tektite;1;T1Q7;39;8.7;12.3
01/05/1996;Tektite;1;T1Q8;36.7;15.4;14.9
01/05/1996;Tektite;1;T1Q9;26;15.1;14.1
01/05/1996;Tektite;1;T1Q10;59.6;5.3;2.7
01/05/1996;Tektite;1;T1Q11;18.5;26;15.9
01/05/1996;Tektite;2;T2Q1;12.8;38;12.8
01/05/1996;Tektite;2;T2Q2;20.8;21.8;15.7
01/05/1996;Tektite;2;T2Q3;33.7;12.2;6.6
01/05/1996;Tektite;2;T2Q4;34.2;9.7;13.8
01/05/1996;Tektite;2;T2Q5;73.7;2.2;1.1
01/05/1996;Tektite;2;T2Q6;59.8;0;9
01/05/1996;Tektite;2;T2Q7;76.3;0.5;2.2
01/05/1996;Tektite;2;T2Q8;52.4;4.3;12.3
01/05/1996;Tektite;2;T2Q9;45.9;13.3;33.2
01/05/1996;Tektite;2;T2Q10;44.6;10.2;23.7
01/05/1996;Tektite;3;T3Q1;21.6;12.4;31.4
01/05/1996;Tektite;3;T3Q2;41.7;3.7;26.2
01/05/1996;Tektite;3;T3Q3;46.4;5.7;1
01/05/1996;Tektite;3;T3Q4;22.6;13.7;7.4
01/05/1996;Tektite;3;T3Q5;26.1;7.4;18.6
01/05/1996;Tektite;3;T3Q6;42.2;8.7;19.5
01/05/1996;Tektite;3;T3Q7;61.2;6;2.2
01/05/1996;Tektite;3;T3Q8;46.7;4.4;2.7
01/05/1996;Tektite;3;T3Q9;48.9;14.3;8.8
01/05/1996;Tektite;3;T3Q10;50.5;14.3;6.8
01/08/1997;Tektite;1;T1Q1;32.5;8;17.5
01/08/1997;Tektite;1;T1Q2;11.5;43.5;4
01/08/1997;Tektite;1;T1Q3;17.5;28.5;1
01/08/1997;Tektite;1;T1Q4;16;26;10.5
01/08/1997;Tektite;1;T1Q5;34.5;16.5;7.5
01/08/1997;Tektite;1;T1Q6;37;10.5;1.5
01/08/1997;Tektite;1;T1Q7;38;9;8
01/08/1997;Tektite;1;T1Q8;47;11;9
01/08/1997;Tektite;1;T1Q9;38;11.5;9
01/08/1997;Tektite;1;T1Q10;53.5;6.5;5.5
01/08/1997;Tektite;2;T2Q1;19.5;24.5;7
01/08/1997;Tektite;2;T2Q2;34.5;19;9
01/08/1997;Tektite;2;T2Q3;27;10.5;20
01/08/1997;Tektite;2;T2Q4;47;3;14.5
01/08/1997;Tektite;2;T2Q5;60.5;3.5;1.5
01/08/1997;Tektite;2;T2Q6;51.5;5;10.5
01/08/1997;Tektite;2;T2Q7;64.5;0;7.5
01/08/1997;Tektite;2;T2Q8;59.5;6.5;5
01/08/1997;Tektite;2;T2Q9;52;8.5;7.5
01/08/1997;Tektite;2;T2Q10;55;4.5;7.5
01/08/1997;Tektite;3;T3Q1;30;15;15
01/08/1997;Tektite;3;T3Q2;53.5;0;6
01/08/1997;Tektite;3;T3Q3;45.5;9.5;12
01/08/1997;Tektite;3;T3Q4;28;3.5;19
01/08/1997;Tektite;3;T3Q5;39;2.5;22
01/08/1997;Tektite;3;T3Q6;45.5;0;12
01/08/1997;Tektite;3;T3Q7;62.5;9.5;3.5
01/08/1997;Tektite;3;T3Q8;44;1;18
01/08/1997;Tektite;3;T3Q9;55;8.5;8
01/08/1997;Tektite;3;T3Q10;50.5;5;17.5
01/08/1998;Tektite;1;T1Q1;33.7;17.5;16.5
01/08/1998;Tektite;1;T1Q2;15.6;52.5;8.5
01/08/1998;Tektite;1;T1Q3;19.9;28;19
01/08/1998;Tektite;1;T1Q4;16.3;32.5;28.5
01/08/1998;Tektite;1;T1Q5;34.9;29.5;6
01/08/1998;Tektite;1;T1Q6;41.4;12.5;17
01/08/1998;Tektite;1;T1Q7;36.7;14;25
01/08/1998;Tektite;1;T1Q8;51.9;9;12
01/08/1998;Tektite;1;T1Q9;39.2;10;19
01/08/1998;Tektite;1;T1Q10;57.2;7.5;9.5
01/08/1998;Tektite;2;T2Q1;25.1;19.5;23
01/08/1998;Tektite;2;T2Q2;37.4;16;20
01/08/1998;Tektite;2;T2Q3;42.7;15.5;13
01/08/1998;Tektite;2;T2Q4;37.4;3;19
01/08/1998;Tektite;2;T2Q5;66.9;6.5;4
01/08/1998;Tektite;2;T2Q6;53.4;8.5;10.5
01/08/1998;Tektite;2;T2Q7;55.1;2;7
01/08/1998;Tektite;2;T2Q8;67.2;1.5;14.5
01/08/1998;Tektite;2;T2Q9;62.7;11;7
01/08/1998;Tektite;2;T2Q10;66.9;10;7
01/08/1998;Tektite;3;T3Q1;31.1;10.5;22
01/08/1998;Tektite;3;T3Q2;60;2.5;8
01/08/1998;Tektite;3;T3Q3;45.9;3;3
01/08/1998;Tektite;3;T3Q4;26.6;8.5;19
01/08/1998;Tektite;3;T3Q5;49.1;10;20
01/08/1998;Tektite;3;T3Q6;50.3;7.5;10
01/08/1998;Tektite;3;T3Q7;49.2;12;4.5
01/08/1998;Tektite;3;T3Q8;39.3;2;5.5
01/08/1998;Tektite;3;T3Q9;42;13;15.5
01/08/1998;Tektite;3;T3Q10;46.2;9.5;16
01/08/1999;Tektite;1;T1Q1;27.9;23.4;22.3
01/08/1999;Tektite;1;T1Q2;15.6;46.2;11.1
01/08/1999;Tektite;1;T1Q3;17;44.5;8.5
01/08/1999;Tektite;1;T1Q4;11.1;54;12.2
01/08/1999;Tektite;1;T1Q5;53.9;16.1;7.3
01/08/1999;Tektite;1;T1Q6;33.2;15.8;11.2
01/08/1999;Tektite;1;T1Q7;48.7;12.3;14.9
01/08/1999;Tektite;1;T1Q8;36.1;12.4;24.7
01/08/1999;Tektite;1;T1Q9;47.7;9.7;8.2
01/08/1999;Tektite;1;T1Q10;40.7;24.2;4.1
01/08/1999;Tektite;2;T2Q1;34.9;26.7;7.7
01/08/1999;Tektite;2;T2Q2;34.5;12.5;30
01/08/1999;Tektite;2;T2Q3;19.9;20.9;30.9
01/08/1999;Tektite;2;T2Q4;43.9;16.3;14.3
01/08/1999;Tektite;2;T2Q5;57.8;7.5;7.5
01/08/1999;Tektite;2;T2Q6;50.8;15.9;9.7
01/08/1999;Tektite;2;T2Q7;55.1;2;10.2
01/08/1999;Tektite;2;T2Q8;63.5;8.1;10.7
01/08/1999;Tektite;2;T2Q9;76.9;3.1;13.8
01/08/1999;Tektite;2;T2Q10;60.5;10.3;5.1
01/08/1999;Tektite;3;T3Q1;34.1;13.1;22.7
01/08/1999;Tektite;3;T3Q2;67;2.1;10.3
01/08/1999;Tektite;3;T3Q3;43.9;9.7;17.9
01/08/1999;Tektite;3;T3Q4;33.5;14.5;15.5
01/08/1999;Tektite;3;T3Q5;44.1;13.8;12.8
01/08/1999;Tektite;3;T3Q6;51;9.7;10.7
01/08/1999;Tektite;3;T3Q7;56.1;20.9;2
01/08/1999;Tektite;3;T3Q8;51.5;8.5;4
01/08/1999;Tektite;3;T3Q9;44.5;21.5;10.5
01/08/1999;Tektite;3;T3Q10;49;27.6;9.9
01/08/2000;Tektite;1;T1Q1;22.1;16.1;36.2
01/08/2000;Tektite;1;T1Q2;10;48.5;30.8
01/08/2000;Tektite;1;T1Q3;15.1;39.7;23
01/08/2000;Tektite;1;T1Q4;12.5;39.5;20.7
01/08/2000;Tektite;1;T1Q5;60.5;11;20.5
01/08/2000;Tektite;1;T1Q6;39.5;15.5;20.1
01/08/2000;Tektite;1;T1Q7;53.5;13;12
01/08/2000;Tektite;1;T1Q8;44.7;12.1;23.2
